Date,Period,Total Demand,TCQ,Net Demand
2024-02-20,26,6718.005,355.818725701596,6362.186274298404
2024-02-20,27,6748.01,355.818725701596,6392.191274298404
2024-02-20,28,6739.081,355.818725701596,6383.262274298404
2024-02-20,29,6764.6269999999995,355.818725701596,6408.808274298403
2024-02-20,30,6810.226,355.818725701596,6454.4072742984035
2024-02-20,31,6974.873,355.818725701596,6619.0542742984035
2024-02-20,32,7030.5419999999995,355.818725701596,6674.723274298403
2024-02-20,33,7078.572999999999,355.818725701596,6722.754274298403
2024-02-20,34,7063.01,355.818725701596,6707.191274298404
2024-02-20,35,7051.46,355.818725701596,6695.641274298404
2024-02-20,36,7038.96,355.818725701596,6683.141274298404
2024-02-20,37,7043.217,355.818725701596,6687.3982742984035
2024-02-20,38,7088.374000000001,355.818725701596,6732.555274298405
2024-02-20,39,7110.088,355.818725701596,6754.269274298404
2024-02-20,40,7089.530000000001,355.818725701596,6733.7112742984045
2024-02-20,41,7047.716,355.818725701596,6691.897274298404
2024-02-20,42,6996.0,355.818725701596,6640.181274298404
2024-02-20,43,6902.975,355.818725701596,6547.156274298404
2024-02-20,44,6764.8,355.818725701596,6408.981274298404
2024-02-20,45,6614.24,355.818725701596,6258.421274298404
2024-02-20,46,6508.5,355.818725701596,6152.681274298404
2024-02-20,47,6379.323,355.818725701596,6023.504274298404
2024-02-20,48,6310.2029999999995,355.818725701596,5954.384274298403
2024-02-21,1,6208.188,355.818725701596,5852.369274298404
2024-02-21,2,6081.175,355.818725701596,5725.356274298404
2024-02-21,3,5889.224999999999,355.818725701596,5533.406274298403
2024-02-21,4,5822.1990000000005,355.818725701596,5466.380274298404
2024-02-21,5,5766.650000000001,355.818725701596,5410.831274298404
2024-02-21,6,5705.375999999999,355.818725701596,5349.557274298403
2024-02-21,7,5670.183,355.818725701596,5314.364274298404
2024-02-21,8,5642.88,355.818725701596,5287.061274298404
2024-02-21,9,5660.146,355.818725701596,5304.327274298404
2024-02-21,10,5704.812,355.818725701596,5348.993274298404
2024-02-21,11,5810.644,355.818725701596,5454.825274298404
2024-02-21,12,5992.838000000001,355.818725701596,5637.0192742984045
2024-02-21,13,6177.004,355.818725701596,5821.185274298404
2024-02-21,14,6356.919,355.818725701596,6001.100274298404
2024-02-21,15,6509.824,355.818725701596,6154.0052742984035
2024-02-21,16,6701.255,355.818725701596,6345.436274298404
2024-02-21,17,6836.1,355.818725701596,6480.281274298404
2024-02-21,18,6888.298,355.818725701596,6532.479274298404
2024-02-21,19,6914.766,355.818725701596,6558.9472742984035
2024-02-21,20,6878.66,355.818725701596,6522.841274298404
2024-02-21,21,6876.454000000001,355.818725701596,6520.6352742984045
2024-02-21,22,6882.681,355.818725701596,6526.8622742984035
2024-02-21,23,6915.250999999999,355.818725701596,6559.432274298403
2024-02-21,24,6855.465999999999,355.818725701596,6499.647274298403
2024-02-21,25,6770.307,355.818725701596,6414.488274298404
2024-02-21,26,6805.827,355.818725701596,6450.008274298404
2024-02-21,27,6834.459,355.818725701596,6478.640274298404
2024-02-21,28,6823.235000000001,355.818725701596,6467.4162742984045
2024-02-21,29,6844.392,355.818725701596,6488.573274298404
2024-02-21,30,6905.0289999999995,355.818725701596,6549.210274298403
2024-02-21,31,7098.732,355.818725701596,6742.913274298404
2024-02-21,32,7137.003,355.818725701596,6781.184274298404
2024-02-21,33,7178.45,355.818725701596,6822.631274298404
2024-02-21,34,7182.101,355.818725701596,6826.2822742984035
2024-02-21,35,7100.495,355.818725701596,6744.676274298404
2024-02-21,36,7035.999,355.818725701596,6680.180274298404
2024-02-21,37,6975.435,355.818725701596,6619.616274298404
2024-02-21,38,6963.676,355.818725701596,6607.857274298404
2024-02-21,39,6958.229,355.818725701596,6602.410274298404
2024-02-21,40,7050.982,355.818725701596,6695.163274298404
2024-02-21,41,7020.817,355.818725701596,6664.998274298404
2024-02-21,42,6985.633,355.818725701596,6629.814274298404
2024-02-21,43,6925.120000000001,355.818725701596,6569.301274298405
2024-02-21,44,6772.443,355.818725701596,6416.624274298404
2024-02-21,45,6615.977,355.818725701596,6260.158274298404
2024-02-21,46,6490.125,355.818725701596,6134.306274298404
2024-02-21,47,6347.926,355.818725701596,5992.107274298404
2024-02-21,48,6148.095,355.818725701596,5792.276274298404
2024-02-22,1,5944.093,355.818725701596,5588.274274298404
2024-02-22,2,5837.16,355.818725701596,5481.341274298404
2024-02-22,3,5818.375,355.818725701596,5462.556274298404
2024-02-22,4,5736.912,355.818725701596,5381.093274298404
2024-02-22,5,5683.745000000001,355.818725701596,5327.926274298405
2024-02-22,6,5610.8820000000005,355.818725701596,5255.063274298404
2024-02-22,7,5603.835,355.818725701596,5248.016274298404
2024-02-22,8,5565.195000000001,355.818725701596,5209.3762742984045
2024-02-22,9,5571.5160000000005,355.818725701596,5215.697274298404
2024-02-22,10,5595.269,355.818725701596,5239.450274298404
2024-02-22,11,5685.991,355.818725701596,5330.172274298404
2024-02-22,12,5865.853,355.818725701596,5510.034274298404
2024-02-22,13,6056.277,355.818725701596,5700.458274298404
2024-02-22,14,6230.141,355.818725701596,5874.3222742984035
2024-02-22,15,6403.156,355.818725701596,6047.337274298404
2024-02-22,16,6635.31,355.818725701596,6279.491274298404
2024-02-22,17,6845.1720000000005,355.818725701596,6489.353274298404
2024-02-22,18,6950.164,355.818725701596,6594.345274298404
2024-02-22,19,6963.031,355.818725701596,6607.212274298404
2024-02-22,20,6892.049,355.818725701596,6536.230274298404
2024-02-22,21,6854.826,355.818725701596,6499.007274298404
2024-02-22,22,6774.079,355.818725701596,6418.260274298404
2024-02-22,23,6742.428,355.818725701596,6386.609274298404
2024-02-22,24,6803.851000000001,355.818725701596,6448.032274298404
2024-02-22,25,6714.049999999999,355.818725701596,6358.231274298403
2024-02-22,26,6607.068,355.818725701596,6251.249274298404
2024-02-22,27,6611.671,355.818725701596,6255.852274298404
2024-02-22,28,6784.825,355.818725701596,6429.006274298404
2024-02-22,29,6848.017,355.818725701596,6492.198274298404
2024-02-22,30,6804.71,355.818725701596,6448.891274298404
2024-02-22,31,6776.733,355.818725701596,6420.914274298404
2024-02-22,32,6865.076,355.818725701596,6509.257274298404
2024-02-22,33,6949.316,355.818725701596,6593.497274298404
2024-02-22,34,6985.955,355.818725701596,6630.136274298404
2024-02-22,35,7083.609,355.818725701596,6727.790274298404
2024-02-22,36,7110.888,355.818725701596,6755.069274298404
2024-02-22,37,7030.46,355.818725701596,6674.641274298404
2024-02-22,38,7037.879,355.818725701596,6682.060274298404
2024-02-22,39,7063.754,355.818725701596,6707.935274298404
2024-02-22,40,7017.3189999999995,355.818725701596,6661.500274298403
2024-02-22,41,6943.702,355.818725701596,6587.883274298404
2024-02-22,42,6915.8099999999995,355.818725701596,6559.991274298403
2024-02-22,43,6847.355,355.818725701596,6491.536274298403
2024-02-22,44,6709.32,355.818725701596,6353.501274298404
2024-02-22,45,6561.775,355.818725701596,6205.9562742984035
2024-02-22,46,6426.039000000001,355.818725701596,6070.220274298405
2024-02-22,47,6293.274,355.818725701596,5937.455274298404
2024-02-22,48,6200.379,355.818725701596,5844.560274298404
2024-02-23,1,6166.441,355.818725701596,5810.622274298404
2024-02-23,2,6116.4839999999995,355.818725701596,5760.665274298403
2024-02-23,3,5983.779,355.818725701596,5627.960274298404
2024-02-23,4,5890.812,355.818725701596,5534.993274298404
2024-02-23,5,5799.294,355.818725701596,5443.475274298404
2024-02-23,6,5727.375,355.818725701596,5371.556274298404
2024-02-23,7,5688.005999999999,355.818725701596,5332.187274298403
2024-02-23,8,5658.454,355.818725701596,5302.635274298404
2024-02-23,9,5650.741,355.818725701596,5294.922274298404
2024-02-23,10,5671.148999999999,355.818725701596,5315.330274298403
2024-02-23,11,5768.5109999999995,355.818725701596,5412.692274298403
2024-02-23,12,5941.4710000000005,355.818725701596,5585.652274298404
2024-02-23,13,6131.04,355.818725701596,5775.221274298404
2024-02-23,14,6295.8330000000005,355.818725701596,5940.014274298404
2024-02-23,15,6487.235,355.818725701596,6131.416274298404
2024-02-23,16,6714.671,355.818725701596,6358.852274298404
2024-02-23,17,6942.2300000000005,355.818725701596,6586.411274298404
2024-02-23,18,7059.937,355.818725701596,6704.118274298404
2024-02-23,19,7072.055,355.818725701596,6716.236274298404
2024-02-23,20,7047.786,355.818725701596,6691.967274298404
2024-02-23,21,7048.643,355.818725701596,6692.824274298404
2024-02-23,22,6936.246999999999,355.818725701596,6580.428274298403
2024-02-23,23,6843.44,355.818725701596,6487.6212742984035
2024-02-23,24,6765.29,355.818725701596,6409.471274298404
2024-02-23,25,6722.059,355.818725701596,6366.240274298404
2024-02-23,26,6784.641,355.818725701596,6428.8222742984035
2024-02-23,27,6809.611,355.818725701596,6453.792274298404
2024-02-23,28,6987.434,355.818725701596,6631.615274298404
2024-02-23,29,7064.866,355.818725701596,6709.047274298404
2024-02-23,30,7059.233,355.818725701596,6703.414274298404
2024-02-23,31,7123.79,355.818725701596,6767.971274298404
2024-02-23,32,7151.221,355.818725701596,6795.402274298403
2024-02-23,33,7066.641,355.818725701596,6710.8222742984035
2024-02-23,34,7121.217000000001,355.818725701596,6765.398274298404
