"Date","Period","Total_Demand","TCQ","Net_Demand"
"2024-01-23",46,"6257.853","467.270071464411","5790.582955879339"
"2024-01-23",47,"6112.6235","443.898437208139","5668.725097948111"
"2024-01-23",48,"5936.9434","409.230666371385","5527.712693003615"
"2024-01-24",1,"5773.889","415.350537834662","5358.538622321588"
"2024-01-24",2,"5670.59","397.13677366202","5273.45307008798"
"2024-01-24",3,"5620.206","383.04170247851","5237.16435220899"
"2024-01-24",4,"5561.93","370.628854616902","5191.301321164348"
"2024-01-24",5,"5508.721","360.553706585054","5148.167484821196"
"2024-01-24",6,"5468.001","352.39848342446","5115.60249313804"
"2024-01-24",7,"5432.904","345.086066518676","5087.817742075074"
"2024-01-24",8,"5411.885","340.95819339320695","5070.926572231793"
"2024-01-24",9,"5425.648","339.086970714893","5086.560978503857"
"2024-01-24",10,"5481.1777","338.984652006826","5142.193082368174"
"2024-01-24",11,"5597.527","343.948495438935","5253.578360029815"
"2024-01-24",12,"5782.6704","348.271397850624","5434.3990123056265"
"2024-01-24",13,"6001.124","356.758274754606","5644.365748682894"
"2024-01-24",14,"6184.7783","359.126852039741","5825.651468272759"
"2024-01-24",15,"6353.106","374.88405909027995","5978.22189794097"
"2024-01-24",16,"6541.289","392.734546877371","6148.554515622629"
"2024-01-24",17,"6686.316","417.28631150359297","6269.0296064651575"
"2024-01-24",18,"6758.0674","437.327106388335","6320.740276424165"
"2024-01-24",19,"6795.139","456.201663313922","6338.937496842328"
"2024-01-24",20,"6846.446","470.689211124953","6375.756589656297"
"2024-01-24",21,"6878.938","485.371126678831","6393.566861602419"
"2024-01-24",22,"6850.2764","489.648162083455","6360.628205104045"
"2024-01-24",23,"6790.995","493.96485858828095","6297.030258599219"
"2024-01-24",24,"6737.3525","493.609263275271","6243.743275787229"
"2024-01-24",25,"6778.783","488.69654769513","6290.08665542987"
"2024-01-24",26,"6832.891","483.05068454945905","6349.840428731791"
"2024-01-24",27,"6854.292","482.3044951289","6371.9874970586"
"2024-01-24",28,"6977.295","484.75094551943704","6492.543976355563"
"2024-01-24",29,"6958.647","484.309570082638","6474.337402573612"
"2024-01-24",30,"6883.951","482.29139026974","6401.65978160526"
"2024-01-24",31,"6978.771","483.168722788107","6495.602273305643"
"2024-01-24",32,"7117.482","483.78940798054504","6633.692525613205"
"2024-01-24",33,"7121.188","487.452027103724","6633.735961177526"
"2024-01-24",34,"7111.754","488.782768847833","6622.971137402167"
"2024-01-24",35,"7144.689","492.90093933719197","6651.788025506558"
"2024-01-24",36,"7166.142","493.19910638517604","6672.9429834585735"
"2024-01-24",37,"7123.837","494.397507952995","6629.439406109505"
"2024-01-24",38,"7063.551","501.872727532206","6561.678053717794"
"2024-01-24",39,"6994.668","513.5954335787981","6481.072535171202"
"2024-01-24",40,"6959.1294","521.702647591887","6437.4267469393635"
"2024-01-24",41,"6925.6963","523.105970094427","6402.590318968073"
"2024-01-24",42,"6859.849","520.200345600202","6339.648775493548"
"2024-01-24",43,"6749.749","518.001028911877","6231.747994525623"
"2024-01-24",44,"6589.555","506.982047501831","6082.573128279419"
"2024-01-24",45,"6398.7866","488.53733625714597","5910.249284836604"
"2024-01-24",46,"6224.25","467.270071464411","5756.979928535589"
"2024-01-24",47,"6064.91","443.898437208139","5621.011719041861"
"2024-01-24",48,"5892.109","409.230666371385","5482.878220347365"
"2024-01-25",1,"5714.028","415.350537834662","5298.677294196588"
"2024-01-25",2,"5609.415","397.13677366202","5212.27826540048"
"2024-01-25",3,"5558.746","383.04170247851","5175.70439127149"
"2024-01-25",4,"5486.6836","370.628854616902","5116.054739133098"
"2024-01-25",5,"5433.1113","360.553706585054","5072.557621539946"
"2024-01-25",6,"5401.667","352.39848342446","5049.26850876304"
"2024-01-25",7,"5376.391","345.086066518676","5031.305046762574"
"2024-01-25",8,"5368.471","340.95819339320695","5027.512998013043"
"2024-01-25",9,"5385.3","339.086970714893","5046.212833972607"
"2024-01-25",10,"5444.379","338.984652006826","5105.394254243174"
"2024-01-25",11,"5555.847","343.948495438935","5211.898672529815"
