Year,Month,Day,Period,Sum of Demand_Sum,Sum of DST,Sum of TCQ
2024,January,10,15,6236,5819.645146896704,416.354853103296
2024,January,10,16,6445,6023.168299827876,421.83170017212404
2024,January,10,17,6623,6191.509508557834,431.490491442166
2024,January,10,18,6738,6296.935108097545,441.06489190245503
2024,January,10,19,6817,6363.286287375763,453.713712624237
2024,January,10,20,6808,6346.414364055613,461.585635944387
2024,January,10,21,6752,6279.82211911677,472.17788088323
2024,January,10,22,6693,6216.184266385818,476.81573361418197
2024,January,10,23,6662,6181.950289519558,480.049710480442
2024,January,10,24,6591,6110.8069335938035,480.193066406197
2024,January,10,25,6544,6067.930890075352,476.069109924648
2024,January,10,26,6596,6122.812254476804,473.187745523196
2024,January,10,27,6713,6237.366286671005,475.633713328995
2024,January,10,28,6730,6251.671886138728,478.328113861272
2024,January,10,29,6718,6232.8433802697855,485.15661973021497
2024,January,10,30,6655,6170.376221941337,484.623778058663
2024,January,10,31,6703,6217.408184508997,485.591815491003
2024,January,10,32,6790,6301.689215178386,488.310784821614
2024,January,10,33,6942,6447.115702641472,494.884297358528
2024,January,10,34,6978,6478.203094427896,499.796905572104
2024,January,10,35,6960,6454.444087764469,505.555912235531
2024,January,10,36,6901,6392.096277697427,508.903722302573
2024,January,10,37,6870,6343.885763387839,526.114236612161
2024,January,10,38,6883,6365.287914963504,517.712085036496
2024,January,10,39,6893,6360.323829765261,532.676170234739
2024,January,10,40,6840,6316.149341233744,523.8506587662561
2024,January,10,41,6799,6284.219562940588,514.7804370594121
2024,January,10,42,6728,6188.224049551335,539.775950448665
2024,January,10,43,6625,6092.019149887938,532.980850112062
2024,January,10,44,6477,5954.329111122534,522.6708888774659
2024,January,10,45,6314,5821.891026234855,492.108973765145
2024,January,10,46,6158,5669.349746396651,488.650253603349
2024,January,10,47,6017,5581.694101371981,435.30589862801895
2024,January,10,48,5847,5452.727448949366,394.272551050634
2024,January,11,1,5656,5300.181274298404,355.818725701596
2024,January,11,2,5571,5213.857581704561,357.142418295439
2024,January,11,3,5522,5180.309796839693,341.690203160307
2024,January,11,4,5452,5116.155237967382,335.844762032618
2024,January,11,5,5367,5037.569689292195,329.430310707805
2024,January,11,6,5362,5013.961544907855,348.038455092145
2024,January,11,7,5326,5005.648630143574,320.351369856426
2024,January,11,8,5316,4958.735749646722,357.264250353278
2024,January,11,9,5322,4971.285175737618,350.714824262382
2024,January,11,10,5384,5058.145634375484,325.854365624516
2024,January,11,11,5483,5140.026885646838,342.97311435316203
2024,January,11,12,5699,5364.276149032494,334.723850967506
2024,January,11,13,5907,5496.853796042121,410.146203957879
2024,January,11,14,6101,5716.673907343926,384.32609265607397
2024,January,11,15,6256,5839.645146896704,416.354853103296
2024,January,11,16,6476,6054.168299827876,421.83170017212404
2024,January,11,17,6616,6184.509508557834,431.490491442166
2024,January,11,18,6706,6264.935108097545,441.06489190245503
2024,January,11,19,6762,6308.286287375763,453.713712624237
2024,January,11,20,6805,6343.414364055613,461.585635944387
2024,January,11,21,6714,6241.82211911677,472.17788088323
2024,January,11,22,6708,6231.184266385818,476.81573361418197
2024,January,11,23,6684,6203.950289519558,480.049710480442
2024,January,11,24,6643,6162.8069335938035,480.193066406197
2024,January,11,25,6620,6143.930890075352,476.069109924648
2024,January,11,26,6646,6172.812254476804,473.187745523196
2024,January,11,27,6755,6279.366286671005,475.633713328995
2024,January,11,28,6854,6375.671886138728,478.328113861272
2024,January,11,29,6898,6412.8433802697855,485.15661973021497
2024,January,11,30,6901,6416.376221941337,484.623778058663
2024,January,11,31,6892,6406.408184508997,485.591815491003
2024,January,11,32,6921,6432.689215178386,488.310784821614
2024,January,11,33,6954,6459.115702641472,494.884297358528
2024,January,11,34,6960,6460.203094427896,499.796905572104
2024,January,11,35,6979,6473.444087764469,505.555912235531
2024,January,11,36,6926,6417.096277697427,508.903722302573
2024,January,11,37,6899,6372.885763387839,526.114236612161
2024,January,11,38,6935,6417.287914963504,517.712085036496
2024,January,11,39,6950,6417.323829765261,532.676170234739
2024,January,11,40,6915,6391.149341233744,523.8506587662561
2024,January,11,41,6864,6349.219562940588,514.7804370594121
2024,January,11,42,6794,6254.224049551335,539.775950448665
2024,January,11,43,6702,6169.019149887938,532.980850112062
2024,January,11,44,6544,6021.329111122534,522.6708888774659
2024,January,11,45,6387,5894.891026234855,492.108973765145
2024,January,11,46,6228,5739.349746396651,488.650253603349
2024,January,11,47,6087,5651.694101371981,435.30589862801895
2024,January,11,48,5919,5524.727448949366,394.272551050634
2024,January,12,1,5740,5384.181274298404,355.818725701596
2024,January,12,2,5669,5311.857581704561,357.142418295439
2024,January,12,3,5599,5257.309796839693,341.690203160307
2024,January,12,4,5529,5193.155237967382,335.844762032618
2024,January,12,5,5485,5155.569689292195,329.430310707805
2024,January,12,6,5439,5090.961544907855,348.038455092145
2024,January,12,7,5419,5098.648630143574,320.351369856426
2024,January,12,8,5390,5032.735749646722,357.264250353278
2024,January,12,9,5409,5058.285175737618,350.714824262382
2024,January,12,10,5451,5125.145634375484,325.854365624516
2024,January,12,11,5566,5223.026885646838,342.97311435316203
2024,January,12,12,5744,5409.276149032494,334.723850967506
2024,January,12,13,5964,5553.853796042121,410.146203957879
2024,January,12,14,6110,5725.673907343926,384.32609265607397
2024,January,12,15,6286,5869.645146896704,416.354853103296
2024,January,12,16,6488,6066.168299827876,421.83170017212404
2024,January,12,17,6645,6213.509508557834,431.490491442166
2024,January,12,18,6705,6263.935108097545,441.06489190245503
2024,January,12,19,6745,6291.286287375763,453.713712624237
2024,January,12,20,6765,6303.414364055613,461.585635944387
2024,January,12,21,6749,6276.82211911677,472.17788088323
2024,January,12,22,6735,6258.184266385818,476.81573361418197
2024,January,12,23,6668,6187.950289519558,480.049710480442
2024,January,12,24,6636,6155.8069335938035,480.193066406197
2024,January,12,25,6658,6181.930890075352,476.069109924648
2024,January,12,26,6697,6223.812254476804,473.187745523196
2024,January,12,27,6737,6261.366286671005,475.633713328995
2024,January,12,28,6807,6328.671886138728,478.328113861272
2024,January,12,29,6874,6388.8433802697855,485.15661973021497
2024,January,12,30,6888,6403.376221941337,484.623778058663
2024,January,12,31,6849,6363.408184508997,485.591815491003
2024,January,12,32,6779,6290.689215178386,488.310784821614
2024,January,12,33,6802,6307.115702641472,494.884297358528
2024,January,12,34,6843,6343.203094427896,499.796905572104
2024,January,12,35,6839,6333.444087764469,505.555912235531
2024,January,12,36,6773,6264.096277697427,508.903722302573
2024,January,12,37,6750,6223.885763387839,526.114236612161
2024,January,12,38,6761,6243.287914963504,517.712085036496
2024,January,12,39,6752,6219.323829765261,532.676170234739
2024,January,12,40,6726,6202.149341233744,523.8506587662561
2024,January,12,41,6666,6151.219562940588,514.7804370594121
2024,January,12,42,6588,6048.224049551335,539.775950448665
2024,January,12,43,6488,5955.019149887938,532.980850112062
2024,January,12,44,6314,5791.329111122534,522.6708888774659
2024,January,12,45,6150,5657.891026234855,492.108973765145
2024,January,12,46,6013,5524.349746396651,488.650253603349
